name,country,alpha_two_code,domains,web_pages,domain_count,top_level_domain,continent
42 US,United States,US,['student.42.us.org'],['http://www.42.us.org/'],1,org,North America
California Baptist University,United States,US,['calbaptist.edu'],['http://www.calbaptist.edu/'],1,edu,North America
Stevenson University,United States,US,['stevenson.edu'],['http://www.stevenson.edu/'],1,edu,North America
Marine Biological Laboratory,United States,US,['mbl.edu'],['http://www.mbl.edu/'],1,edu,North America
Maryville University,United States,US,['maryville.edu'],['http://www.maryville.edu/'],1,edu,North America
The Art Institutes,United States,US,['aii.edu'],['http://www.aii.edu/'],1,edu,North America
University of Mississippi Medical Center,United States,US,['umc.edu'],['http://www.umc.edu/'],1,edu,North America
University of Central Oklahoma,United States,US,['uco.edu'],['http://www.uco.edu/'],1,edu,North America
Hallmark University,United States,US,['hallmarkuniversity.edu'],['http://www.hallmarkuniversity.edu/'],1,edu,North America
Keiser University,United States,US,['keiseruniversity.edu'],['http://www.keiseruniversity.edu/'],1,edu,North America
St. Johns River State College,United States,US,['sjrstate.edu'],['http://www.sjrstate.edu/'],1,edu,North America
Indian River State College,United States,US,['irsc.edu'],['http://www.irsc.edu/'],1,edu,North America
Barnard College,United States,US,['barnard.edu'],['http://www.barnard.edu/'],1,edu,North America
California Southern University,United States,US,['calsouthern.edu'],['http://www.calsouthern.edu/'],1,edu,North America
University of La Verne,United States,US,['laverne.edu'],['http://www.laverne.edu/'],1,edu,North America
Washington & Jefferson College,United States,US,['washjeff.edu'],['http://www.washjeff.edu/'],1,edu,North America
University of the People,United States,US,['uopeople.edu'],['http://www.uopeople.edu/'],1,edu,North America
Touro College,United States,US,['touro.edu'],['http://www.touro.edu/'],1,edu,North America
New Jersey City University,United States,US,['njcu.edu'],['http://www.njcu.edu/'],1,edu,North America
Lander University,United States,US,['lander.edu'],['http://www.lander.edu/'],1,edu,North America
SUNY Maritime College,United States,US,['sunymaritime.edu'],['http://www.sunymaritime.edu/'],1,edu,North America
Lesley University,United States,US,['lesley.edu'],['http://www.lesley.edu/'],1,edu,North America
Laurus College,United States,US,['lauruscollege.edu'],['http://www.lauruscollege.edu/'],1,edu,North America
National Park College,United States,US,['np.edu'],['http://www.np.edu/'],1,edu,North America
Oklahoma Christian University,United States,US,['oc.edu'],['http://www.oc.edu/'],1,edu,North America
San Diego Christian College,United States,US,['sdcc.edu'],['http://www.sdcc.edu/'],1,edu,North America
SANS Technology Institute,United States,US,['sans.edu'],['http://www.sans.edu/'],1,edu,North America
Pasco-Hernando State College,United States,US,['phsc.edu'],['http://www.phsc.edu/'],1,edu,North America
New College of Florida,United States,US,['ncf.edu'],['http://www.ncf.edu/'],1,edu,North America
Grand Canyon University,United States,US,['gcu.edu'],['http://www.gcu.edu/'],1,edu,North America
Cold Spring Harbor Laboratory,United States,US,['cshl.edu'],['http://www.cshl.edu/'],1,edu,North America
Albany State University,United States,US,['asurams.edu'],['http://www.asurams.edu/'],1,edu,North America
Lasell College,United States,US,['lasell.edu'],['http://www.lasell.edu/'],1,edu,North America
Contra Costa Community College District,United States,US,['4cd.edu'],['http://www.4cd.edu/'],1,edu,North America
